TempCli,renda,tot_emprestimo_liquidado,tot_emprestimo_ativo,carteira,tot_parcela_ativa_em_dia,tot_parcela_ativa_atrasada,tot_parcela_pago_em_dia,atraso_min,atraso_mid,atraso_max,class
166,2900.00,5,0,0.0000000,0,0,37,3,0,0,Bom
92,7516.67,1,0,0.0000000,0,0,4,2,0,0,Bom
124,350.00,3,0,0.0000000,0,0,42,5,0,0,Bom
54,7378.67,5,1,6865.1800000,1,0,5,0,0,0,Bom
166,8333.33,19,0,0.0000000,0,0,40,42,0,0,Bom
78,2669.29,1,0,0.0000000,0,0,1,0,0,0,Bom
163,800.00,4,0,0.0000000,0,0,10,22,1,0,Bom
6,5005.00,1,0,0.0000000,0,0,0,2,0,0,Bom
11,3238.94,0,1,18468.0800000,50,0,6,4,0,0,Bom
134,2737.00,12,1,5169.6300000,1,0,46,24,0,0,Bom
106,2500.00,4,1,13167.5300000,54,0,116,10,0,0,Bom
23,3195.10,0,1,639.0700000,14,0,13,9,0,0,Bom
144,2835.00,3,0,0.0000000,0,0,2,3,0,0,Bom
104,3418.50,9,0,0.0000000,0,0,49,21,0,0,Bom
133,1300.00,3,0,0.0000000,0,0,49,19,0,0,Bom
166,800.00,1,0,0.0000000,0,0,1,0,0,0,Bom
95,465.00,3,0,0.0000000,0,0,3,4,0,0,Bom
23,6113.25,0,1,413.0600000,3,0,14,7,0,0,Bom
130,17083.33,0,1,53565.1300000,5,0,5,0,0,0,Bom
98,5333.33,6,1,0.0000000,0,0,2,15,0,0,Bom
9,3947.63,0,1,9475.9100000,31,1,0,5,0,0,Bom
120,12127.50,1,0,0.0000000,0,0,3,3,0,0,Bom
166,6666.67,2,0,0.0000000,0,0,2,0,0,0,Bom
49,1200.00,2,0,0.0000000,0,0,60,12,0,0,Bom
136,3500.00,3,0,0.0000000,0,0,80,20,9,5,Bom
84,833.33,1,0,0.0000000,0,0,10,13,1,0,Bom
152,3999.17,11,4,22098.0200000,17,7,107,58,3,4,Bom
18,2850.00,0,1,2486.2800000,13,1,0,2,0,0,Bom
165,800.00,2,0,0.0000000,0,0,12,1,0,0,Bom
166,5678.33,7,5,33430.6800000,15,0,48,9,0,0,Bom
165,1.00,2,0,0.0000000,0,0,0,1,0,1,Bom
39,4850.56,1,0,0.0000000,0,0,14,22,0,0,Bom
51,1100.00,1,0,0.0000000,0,0,45,3,0,0,Bom
120,46060.00,12,3,22512.1300000,2,0,63,28,0,0,Bom
111,5000.00,11,0,0.0000000,0,0,11,33,0,0,Bom
92,0.01,1,1,925.5000000,4,0,52,4,0,0,Bom
161,800.00,5,0,0.0000000,0,0,3,2,0,0,Bom
116,380.00,1,0,0.0000000,0,0,0,2,0,0,Bom
151,800.00,1,0,0.0000000,0,0,1,0,0,0,Bom
98,1129.07,1,0,0.0000000,0,0,66,6,0,0,Bom
138,800.00,1,0,0.0000000,0,0,0,5,0,0,Bom
125,1666.67,2,0,0.0000000,0,0,9,2,0,0,Bom
139,800.00,1,0,0.0000000,0,0,16,4,0,0,Bom
138,2150.00,4,0,0.0000000,0,0,89,0,0,0,Bom
129,3500.00,2,0,0.0000000,0,0,2,0,0,0,Bom
66,4000.00,1,0,0.0000000,0,0,26,9,0,0,Bom
151,1560.00,13,2,17067.4700000,4,0,88,31,0,0,Bom
152,2193.55,4,0,0.0000000,0,0,57,4,0,0,Bom
